-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.030,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.030,  0.214
-183.800, 80.195, 0.072,  0.247
-183.798, 80.189, 0.183,  0.280
-183.796, 80.180, 0.273,  0.313
-183.792, 80.168, 0.361,  0.346
-183.786, 80.153, 0.444,  0.379
-183.779, 80.136, 0.528,  0.412
-183.768, 80.113, 0.719,  0.445
-183.756, 80.084, 0.905,  0.478
-183.743, 80.048, 1.080,  0.511
-183.731, 80.009, 1.220,  0.544
-183.720, 79.965, 1.327,  0.577
-183.708, 79.920, 1.397,  0.610
-183.696, 79.872, 1.450,  0.643
-183.685, 79.824, 1.489,  0.676
-183.673, 79.775, 1.516,  0.709
-183.661, 79.725, 1.532,  0.742
-183.649, 79.676, 1.539,  0.775
-183.638, 79.626, 1.538,  0.808
-183.626, 79.576, 1.532,  0.841
-183.614, 79.527, 1.523,  0.874
-183.602, 79.478, 1.511,  0.907
-183.590, 79.430, 1.497,  0.940
-183.579, 79.382, 1.485,  0.973
-183.567, 79.334, 1.473,  1.006
-183.555, 79.287, 1.462,  1.039
-183.543, 79.240, 1.454,  1.072
-183.531, 79.193, 1.449,  1.105
-183.519, 79.146, 1.445,  1.138
-183.507, 79.100, 1.445,  1.171
-183.494, 79.053, 1.447,  1.204
-183.482, 79.006, 1.451,  1.237
-183.469, 78.959, 1.454,  1.270
-183.456, 78.912, 1.462,  1.303
-183.442, 78.865, 1.471,  1.336
-183.429, 78.817, 1.482,  1.369
-183.416, 78.769, 1.493,  1.402
-183.402, 78.720, 1.504,  1.435
-183.389, 78.671, 1.515,  1.468
-183.375, 78.622, 1.525,  1.501
-183.361, 78.573, 1.535,  1.534
-183.348, 78.523, 1.544,  1.567
-183.334, 78.473, 1.553,  1.600
-183.320, 78.423, 1.560,  1.633
-183.307, 78.373, 1.567,  1.666
-183.293, 78.322, 1.572,  1.699
-183.279, 78.271, 1.578,  1.732
